,title,company,rating,location,salary,summary
0,,Leidos,3.7,"Pittsburgh, PA 15236",,"Work individually and on local and geographically dispersed teams with other engineers, scientists, technicians, subject matter experts, faculty members, post…"
1,Data Scientist - Fully Remote,DataSource.ai,,"San Francisco, CA","$113,114 - $221,749 a year","As part of our team, you will leverage your deep technical expertise to provide actionable, data-driven insights to team members at all levels."
2,Jr. Data Scientist,Dash Technologies Inc,,"Kansas City, KS","$76,029 - $105,000 a year","Work with developers to design algorithms and flowcharts.
Produce clean, efficient code based on specifications.
Verify and deploy programs and systems."
3,Data Scientist,Epace Technology,,United States,,"Understanding data, data problem statements, data processing.
Someone with a quantum background in physics/statistical backgrounds will be able to do this."
4,Data Scientist Consultant,Zora Digital,3.7,Remote,Up to $75 an hour,"Work closely with data scientists and backend engineers to implement and maintain your changes.
Work on exploring, connecting and mining internal data sources…"
5,Entry Level Data Scientist,Spectra Infosystems,,"San Mateo, CA",,"Applicants will be expected to work with a diverse set of data sources, such as time series data, spatial, graph data, semi-structured and unstructured data,…"
6,Data Scientist - Entry to Experienced Level,National Security Agency (NSA),4.2,"Fort Meade, MD","$102,663 - $157,709 a year","Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…"
7,Data Scientist,Experian,3.7,United States,,"Develop machine learning algorithms with huge data sets to solve challenging business questions.
The ideal candidate must have the ability to extract insights…"
8,Data Scientist - Discovery,Roblox,4.2,"San Mateo, CA",,"You'll partner with data scientists, product managers, engineers and leaders across the company to better understand our players and builders, performing ad hoc…"
9,Data Analyst/Data Scientist,Cascade Data Labs,,"Portland, OR 97202 (Hosford-Abernethy area)","$65,000 - $120,000 a year",Analyze a collection of raw data sets to create meaningful impact to large enterprise clients while maintaining a high degree of scientific rigor and discipline…
10,Data Scientist,"Avicena, LLC",,Remote,"$120,000 - $150,000 a year","Collaborate tightly with a team of software engineers, signal processing engineers, and other data scientists to generate diagnostic models based on clinical…"
11,Data Scientist,Parkland Corporation,3.1,"Austin, TX","Up to $2,000 a week",Demonstrated understanding in advanced analytics methods with perspectives from machine learning (including supervised and unsupervised learning) as well as…
