City,Jobs,State
Cambridge,93,MA
Boston,78,MA
Atlanta,64,GA
San Diego,64,CA
Pleasanton,56,CA
South Plainfield,47,NJ
South San Francisco,46,CA
San Jose,45,CA
Frederick,44,MD
Los Angeles,40,CA
Santa Monica,38,CA
Menlo Park,37,CA
Watertown,36,MA
Houston,33,TX
Northridge,32,CA
Salt Lake City,31,UT
Rockville,25,MD
Newark,23,NJ
Novato,22,CA
Berkeley,19,CA
Temple City,18,CA
New York,15,NY
Washington,12,DC
Seattle,12,WA
Redwood City,12,CA
Philadelphia,11,PA
Austin,11,TX
Bethesda,10,MD
San Francisco,10,CA
Durham,10,NC
Boulder,9,CO
Phoenix,7,AZ
St. Louis,7,MO
Chicago,6,IL
Research Triangle Park,6,NC
La Jolla,6,CA
San Carlos,6,CA
Dallas,5,TX
Portland,5,OR
Foster City,5,CA
Chesterfield,5,MO
Stamford,5,CT
Nashville,4,TN
San Francisco Bay Area,4,CA
Oklahoma City,4,OK
Notre Dame,4,IN
Tempe,4,AZ
Fort Detrick,4,MD
Falls Church,3,VA
Aliso Viejo,3,CA
Silver Spring,3,MD
Madison,3,WI
Aurora,3,CO
Baltimore,3,MD
Gaithersburg,3,MD
Santa Clara,3,CA
Sunnyvale,3,CA
Ann Arbor,3,MI
Brisbane,3,CA
Waltham,3,MA
Charlotte,3,NC
Irwindale,3,CA
Memphis,2,TN
Tarrytown,2,NY
Worcester,2,MA
Township of Hamilton,2,NJ
New Brunswick,2,NJ
Morrisville,2,NC
Orem,2,UT
Dover,2,DE
West,2,TX
Connecticut,2,CT
Tampa,2,FL
Princeton,2,NJ
Charlestown,2,MA
California,2,CA
Branford,2,CT
West Lafayette,2,IN
Columbus,2,OH
Palo Alto,2,CA
San Antonio,2,TX
Santa Cruz,2,CA
Evanston,2,IL
Pittsburgh,2,PA
Fort Myers,2,FL
Cincinnati,2,OH
Coralville,2,IA
Woodland,2,CA
Gainesville,2,FL
Indianapolis,2,IN
Carlsbad,2,CA
Johnston,2,IA
Ipswich,1,MA
Richmond,1,CA
Albuquerque,1,NM
Kansas City,1,MO
Wisconsin,1,WI
Danvers,1,MA
West Hills,1,CA
New York State,1,NY
Irvine,1,CA
Des Plaines,1,IL
Cupertino,1,CA
Bronx,1,NY
Vancouver,1,WA
Stanford,1,CA
Little Rock,1,AR
Monmouth Junction,1,NJ
Emeryville,1,CA
Roslyn,1,NY
Collegeville,1,PA
Torrance,1,CA
Manhattan,1,NY
Lake Oswego,1,OR
Richland,1,WA
Abilene,1,TX
Louisville,1,KY
Wallingford,1,CT
Thousand Oaks,1,CA
Hawaii,1,HI
Wilmington,1,NC
Oakland,1,CA
Reno,1,NV
Hazelwood,1,MO
Hamilton,1,MT
Billerica,1,MA
Chapel Hill,1,NC
College Station,1,TX
Abbott Park,1,IL
Milwaukee,1,WI
Cleveland,1,OH
Buffalo,1,NY
Lewisville,1,TX
Town of Westborough,1,MA
Lincoln,1,NE
Illinois,1,IL
Florida,1,FL
Topeka,1,KS
Little Falls,1,NJ
Milledgeville,1,GA
Royal Oak,1,MI
Fort Worth,1,TX
Jupiter,1,FL
Amarillo,1,TX
New Haven,1,CT
Charlottesville,1,VA
Waunakee,1,WI
Central,1,LA
Brookings,1,SD
Alachua,1,FL
Flagstaff,1,AZ
Cold Spring Harbor,3,NY
Lake County,1,IL
Bellevue,1,WA
Bar Harbor,1,ME
Rye Brook,1,NY
Lubbock,1,TX
Jackson,1,MS
Kirkland,1,WA
Fremont,1,CA
Lexington,1,MA
Raleigh,1,NC
Hershey,1,PA
Hoboken,1,NJ
Groton,1,CT
Hayward,1,CA
Stephenville,1,TX
Spring House,1,PA
Saint Joseph,1,MO
Lowell,1,MA
Pocatello,1,ID
Delaware,1,DE
Green Bay,1,WI
Riverside,1,CA
Redmond,1,WA
Iowa City,1,IA
Foggy Bottom,1,DC
University Park,1,PA
Woods Hole,1,MA
Sarasota,1,FL
Fairfield,1,CT
Sterling,1,VA
Libertyville,1,IL
Moscow,1,ID
