title,company,rating,location,salary,summary,post_date,record obtained,job_url,State,City
"Senior Software Engineer, Bioinformatics",Roche,4.2,"Pleasanton, CA",,We are seeking a Senior Software Engineer to partner with bioinformatics scientists and software developers in support of building the underlying bioinformatics…,30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DwpSO_X_4fO3yEPcJl8pLft9tRR8Y02gXA9Ku0YkSky7EbH1AnYCZJRrvWORRQ0HozrjCfhloyoaXWSHvqCgSXnMls-E0aB-MEAkSyUFTUbljt_moCCZbDfsmZb44bsrGXNORPGgMFv4u-AXRoxS5F9DjhAwD3ezHe9hwokDVmJ00LAf1LhmH7FfwfKAvBfserJxdBrs0MSqy3tD6GrHsp_Kg9UkobLUIqtfbtOuSg8WIUlqCHKEX57PQ8e3B8QwPBf2wYeRInCCbUtJdwsCVFJk90B69Ocp9f5IInerfGMuN-mYEL7pPbf0G9dN80HsNAuSrTD7MhxWqCJmOLWwYLvuWNdppTr7wfm5CqcYgVYavLdhTX7vB81t0xH31PeqSOpZ-kh6npAdCHSw8kZDGKjQ90BdjgAlw1wH3-n77zZYABFbbT6aaNRA1FbXcEduLJ-nfT0moq6raC_9hn1Cu0doOnv9ITvM4OxM8ts_i9UCbC_Su1E1bzsRtnEpd1rKRZmmEfBYWtjWy34wgyeRCvRF8-W9WeWvz_vPzshOc0nQQtkT2AUTHDJpkMyMHY8OGCgIL3zeWnO5uL-_7gLXq5FQk7gC3yfLl4uy0uUwRepFBwUDlN2hu-BiGsWG3Kp9mMJ-2mEln-vg==&p=0&fvj=0&vjs=3,CA,Pleasanton
Sr. Bioinformatics Pipeline Development Engineer,"Personalis, Inc",3.2,"Menlo Park, CA",,"Experience developing bioinformatics pipelines, including expertise with standard Next-generation sequencing analysis tools such as BWA, GATK, samtools, etc.",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BvgrUsLoI_2q3yHsLuAABUrmMFN6FdpG-g3RoeQqjVOEwNcOsJkwlBkQSCplsNYGDeVq3ke_iRIWbi5PjyPpubFQVg-2sK-bGLa918YTOJHsum0aEIFctKO_7xUYnafbxAlkyw1dPvB5eNeFUTK1JlrJ9BiMbXQ3LysyWwKAAarHFdlfefnsJylPCN16IHx02vWi6Tl3B5HKdHa3IaBLKp73YGV5fFD-ygPTkb4zFjJIOwrjlQ0krXIDbR3F8kNsZHmq0vhYK4D19IoK-mDR38mcsXIeh3OD1BiiXFk8KdZlbCLlUanNACxEVRiJow7RTZvJh_a8ZnrBZ91YeqG34ozLmEszxFNReMjIsqRtNi0R1zuj-XH3pMLktiglzGFNgLBmmbkImP1Z1X2wvf6W69tu8snIO7okXB6RXvwKJ3e8-1biXnpU0jdyYXLnAXUER9IC7ILcMA9P3on8W9Bx9d&p=1&fvj=1&vjs=3,CA,Menlo Park
Senior Director Bioinformatics,"TurnKey Staffing, LLC",,"Philadelphia, PA","$200,000 - $225,000 a year","Strong in bioinformatic life-cycle from initial data source plan, through data cleaning and analysis to visualization and report out.",10 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnNRTCmfuwlbFcV-TW9ZkK7a6Sv4f7EwtIATJRr7V8TbTp6EP5ALSNYoGgipZ1Qjq8OudlQJ5sD1E5guvDCyciPfXJQmRF277AXavgT7plUqwRTOFMUrCRFY9MsD1kVUFDohn-l0H3PzyIEIbJS6Pgpu57QrDdL71BkMUB-av1UHM8s6El4DFbtBRmD-6N9MZOLrLSLYhiUkmCKdg381C8wsdJHcssR6jJ6e1XkrOCUVsG8jfGRBc5YlvdWs8nbqsnqkDUG1AZFG0k_YWo7akO3ns-KY6XtnNXxFb6QQ9bSW0mnqc39mHKjtkNIUq8eRtwOGgl3okx5gttzSvh3KLs7cfPM-bnziYaCUcoMqA4l1QHDokcAlJOfMxBVOykpNXh-4ZLvOhJzIi0ApFvUKCYLzI8gg0BGCZwkbfO3KkXI5W1xpiaE5qv5_TGHq3arg0sngSw0j53epyNZHgWeGPQFvRGQ17LYzk=&p=2&fvj=1&vjs=3,PA,Philadelphia
Statistical Geneticist/Computational Genome Scientist,Goldfinch Bio,,"Cambridge, MA",,"They will be responsible for designing and implementing robust analysis plans, building analysis workflows/pipelines, developing statistical and computational…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DG6ya2PbUph-cgIRMY_V-c6rFFZZPIlEtSz8TiBdIueoR8ZtJ2eRQF30r7pHt4dvIdw1zqkvHfJhH7-Kfh7qg_LXGQZNTPBUnYrpvjZXzU1GQxczw2gpaisX6RjBE5hBGwQ00FcKehf0gF6PfsxkeLJQC6eXyIJCLktYqSeWbwTCihGACSQIXPdEz12OKtrNStaUjfTxFaMd34zDT3khQq6eBAUT3a6HCoWVI5LTt0uZ1rrdRiNiF94CuhPw2RYBQVFOqpqjWOvUHco5AjInpfHRLRjVqfJM4T17akSZYKiyOJpqGTjvBY5cBCrcKo75bAqK5AMVg7zr8LtRQjbvLWkKE44C1hj3st57x3REBnN651QvXRuF5acvMjwBuTi5yfagdOGWPYNts7aeTGUnFGnf0wOXizcWwY89uYoqKfJdk5jhgjBmBC&p=3&fvj=0&vjs=3,MA,Cambridge
"Research Scientist, Vector Biology",Kite Pharma,3.8,"Santa Monica, CA",,"Experience with next-generation sequencing platforms, library construction and computational bioinformatics analyses (i.e. Illumina systems).",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKn2asMFt2ssUbZx28JoI1Uu-b2-qdkKONqPCPCy3GTPZSnLSKve2AqItHZiMTx0PWAjh49P7dyVRVRPyfs_MvgXktLFK9blevW9Y-mQePin2QIkVnF23zcmyKQP0rhnyPrGDNwtGMmc9sYQRUFLcfwBzCwgvlshvT7Y1YCilNOFNWN2Grth8mVdzbmwkgT4ijrrTkAQCGJ6S9SsezGUScjWCL3CAVAlWsExzlekEQeP9sNImASgvDpF8j7PE3ibgF6EXY7RzIzMXgaBQhKdyoxUrB-giT_Gd79loEf_foXheTc5t5J_yv6ALxgbsE_8qVMYniHTFADGSzPcjo_AkZLTxrqZLZrF19HDo0waHuMXbTO2yE83PT6lG1wirHiIuGCTbxBvtjQ1fKdyYd4XJewjG05gCSEbyL-xGm7dK4bCOG5OXoMPLVN-Ak4nCgbjhEyb5u_zRdQB5QYUP74WYmMNxnBkLw5hQfHIq-a-IgcE6589LEOpM22hGt8-G03PyJKkRfT7Ho92a5aKJVAv5XctaVPfGc0HnQv-MGOQxzM1h7i1G2TJ4Sw1o6gxPpnqWEpbtmjhMpoO8b7MsQnM0_Uk044DTAgaUA7OaXySCRDuISsFtPPecHLqYbfnYgJn-nhEGcyAb46g==&p=4&fvj=0&vjs=3,CA,Santa Monica
"PhD/MS Computational Biologist, Oncology Data Science",Novartis,4.1,"Cambridge, MA",,"Ph.D. (or M.S. with equivalent experience) in computational biology, bioinformatics, data science, systems biology, statistics, computer science, or a related…",7 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AQgus3xSE4E68EdcPzMEgOKC9qhOanJG5jr53I5ip5yLAtZ7xEL8NLF0CBKL2v5qFUd6WsIOpUdoAQE30eXf6_L9cxYiAHkN2hD7vEsbj9HGJ0E7fTbPS2bmD5a6hiS0zOibhU_80C_q7tcMeCYFIkJsHvPophAap4R0UPH-mY3VUXXp15TIc3Demu78fki1KyAQaqhhq7bEWWSnL4GjStsogp0NeuBUEcjO5GMJB0mP1BiU1rphobLdd-71gRAQfgid1KKhzFHCbmOKqcHlUJzh-FvM8SAMGf90iDoiOMgDbtRsrvYcABp-RItCrafto9huMSTrlAZ5T55sX-oh8Ve7_kac8GPMqVIt2LRkjq4Dfi7tF3zumPvemUC1ryNlGorEDlWVLSStfPY7DGT2bADIBWzI9dtUw=&p=5&fvj=0&vjs=3,MA,Cambridge
BIOINFORMATICS ANALYST,University of Washington,4.1,"Seattle, WA",,"Bachelor’s degree in bioinformatics or computer science with strong quantitative/bioinformatics background, and two or more years experiences.",1 day ago,2020-10-29,https://www.indeed.com/rc/clk?jk=64fd18b34840473a&fccid=142783ac2edbe56b&vjs=3,WA,Seattle
Bioinformatics Technician,Cleveland Clinic,3.9,"Cleveland, OH",,"Maintains and runs software systems for bioinformatics analysis which can include raw data quality control, sequence alignment, variant calling, annotation and…",Today,2020-10-29,https://www.indeed.com/rc/clk?jk=c128d7a4fbd3f7bf&fccid=e2a2a5c0f4f84192&vjs=3,OH,Cleveland
Bioinformatics Research Associate,University of North Carolina at Charlotte,4.4,"Charlotte, NC",$30 - $40 an hour,"Design, develop, and implement efficient databases for storing large datasets.
Knowledge of genetics, DNA sequencing and other omics technologies, GENBANK, full…",30+ days ago,2020-10-29,https://www.indeed.com/company/University-of-North-Carolina-at-Charlotte/jobs/Bioinformatic-Research-Associate-c57ab7260e5693a9?fccid=75335e89972ea010&vjs=3,NC,Charlotte
Bioinformatics Scientist,Harvard University,4.3,"Cambridge, MA",,"00 - Non Union, Exempt or Temporary.",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=24c07196e3bf7999&fccid=5507a64404691526&vjs=3,MA,Cambridge
Bioinformatics Engineer,"Bio-Rad Laboratories, Inc.",3.7,"Pleasanton, CA",,"Bachelor degree in bioinformatics, computer science, statistics, mathematics or molecular biology with equivalent experience.",2 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=762421f6baf7a0e9&fccid=f5d3dc952a96809f&vjs=3,CA,Pleasanton
