,title,company,rating,location,salary,summary,post_date,record obtained,job_url
0,Data Scientist,Peterson Technology Partners,4.0,"Milwaukee, WI",$45 - $75 an hour,"Skilled data scientist with machine learning, image analysis, statistical analysis experience.
Machine Learning: 3 years (Required).",10 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AgtsfPTMZ7iDcp1X4T-0K4CYWuscf9rvuaH0n-fMkMyKnr7WxHRcz12wTe7OJE2CNkGD_Zbt1v7NuV4PiynL_HBCfpjsYtUm__LNxiL6j00COIMJtZM0_7ZyAPccQINce0U-MpG9gf4xDww8Do2cWIME6ZpYvTZ_dHiLzvOra4M9usmN1vQXTwYae5MVFScjpPOcvG_D8FAeDgIkicdbgNW_F2JD02G8ACIhDfYSXyk7OAI07XN55s6VpM4ID_Iov3VApE3h65TztObM7JsvDwA_iSZc4_PT5zLaiIJ6Gk5P1T8IvbS3vXhgIrdyasINsLhUzhsfOZnDYWXZHhkZ3rN66Nl_BrbMTh5170oB2LpZsqeFmWvLtzE_cqoV2NZ3SUsmJeBwCmkCY56wbMvISpIzvFR2UyLXR_T0YVbQsefkOxftbMLb72zOzHUyBkuypUwqJZEf7dCO1JJY5cXTCw&p=0&fvj=1&vjs=3
1,"Data Scientist, Consultant",Guidehouse,3.4,"Atlanta, GA",,"This high performing team works with clients to implement the full spectrum of data analytics and data science, from data querying and data wrangling, to data…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O8r9q-m4QGBZILJsMcrCnsXks4l-jv1pW0P06j-xkM-s2IyZrLKdDCzCs6F6cetm5DO8WxrdmO0jB25SXi9Z0USpIf38jzrmv0TnkdtSPaONQ-29UjhYlBdnNqpLfQnpAGWIDgi6Cs8KWX27YRppnbytZTs8wXaseuimayJwIfGkv3iECbvGH6ZR6n9rZS1SdIoh7nHC926h12P5kxcUBG_qMd2dFrweNzTgkiOW-G2k9sJnt3ve9C5GC7Phig9m_CArWGTXuOUDDeZFUtpvtJZmrMT-iey4wDJexEn8clGM1fBQZQT3RnH6CEV0L3DmdxHPxs1WcEbjyhxi-bhBspAQ==&p=1&fvj=0&vjs=3
2,Junior Data Scientist,ICF,3.5,"Washington, DC",,"Our staff provides deep technical and business support for data acquisition, data analysis/data science, and interactive data visualizations.",Today,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AN5ht3a5h_wUL6zibLUkRkQUx7BdYCqUomJc1xdJyFfoMKC6ynqA6srVvn2bw_SoXZkO9fE7SX53QqmJu56x4UFd1C4RwXe0iRwFPEYpRAcZDcQbcXrko1S2643PZJxMGyEcmw3WwMaGU544cX6W3NEbMwuMV98pNBvcfgqsh9TJqXidAjV8qdS0uelVYjfTPtbC-rJ91P56MR4M6HXvgROjg6rluucGRAfpsEv_yj5fAMmp-T1CKSF3QzKOO5dOhihNqiCV1KlvR8zGEVVXLaVBCQX8XhYaMuOD2BDYpcZ-bGTGEdw-W5-KrP859kTAYsY_4GhISlqqzCHlpdZSd9FeGgtUsmqvxwMOHDmppbtCNxK00VXg_-KYKPiCdkdphwhAptXoXVoAHL8wsTBW7PgDGGCeuyIGlFQiJv9nUhQu86ACuBejIkYPW5Vla1jy2iehYDvD3JQFPWkMIMR_wk_ZbzMkji0-hznkWxrR_HwInpNiZWK-5_nzyaE2A0481pIvjY4MZSkcJ7Qo0fYUR955qkWtJw0mNgwgDdnft-wJ41hSLPW9j91eZsBb7_WutJQGO1E0NeiQ==&p=2&fvj=0&vjs=3
3,Senior Marketing Data Analyst,National Funding,3.3,"San Diego, CA",,"3-7 years of experience in data analysis.
Builds recommendations by synthesizing data from multiple sources, developing assumptions where needed, to drive…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1gMxTCkCMx70SaHXv4oGBFcjq2WLpy8W8wpR_P0ejKHTuYv6NJ7AC07jKXfB8guihtk_AYmIQFmuJ_DX7tfyJfn-H5ed1l9JpbVSNtI_KwtVMYb_GvHaltmPpXGExUHIFTBYrYM8EOSCmUP9vtEBlSVXlWbSgbpBzoMrdELE3NdgO6It8eWyg-cpdIFeVfNdOaHSfvhVVtdEV1xA85QwLKpR71aaFSBYbwpg2gF4k7IEQVM9EOAkbZH4pHQlSmqflpNq-hePslGde7tLDuXzxn_YZwkzhpIHPJC0lRRimnyWH32t7tM6ojvFlfr5ZD4gRCoJKewpd9LOYx_1WkEvZaGlc9PVXxKfUedcJxQd09NxbpuCBrkHDsLP_1wVWEZirUisV3EsNfgjRQ0EmsUy5sazY9P3km1-p7TTm96EAn6xzmyCmcAesAvoKNWQH2qbmk-xWhWfBl1GRtGn-4fMd-EQX9VdK5A3zV5cjuJUezHFNmufbRE8XxTA6eqc6E9qZi9WCFGezN_Z5MUz2IcL-QrdwVzRRHsAMMjw5uta6TVRYKXPfG9KrWTrQbYZoW0VGbBrqnQ2K6-RWvcmtkDmb0DK71JitsQo=&p=3&fvj=0&vjs=3
4,Data Scientist,Knock,3.7,"Portland, OR",,"A strong command of data analysis techniques (linear modeling, causal inference, Bayesian methods, supervised and unsupervised machine learning, etc.).",Today,2020-10-29,https://www.indeed.com/company/Knock.com/jobs/Data-Scientist-1fd015e697b82d06?fccid=f0c02e05b04b1569&vjs=3
5,Associate Data Scientist,Tableau,3.8,"Seattle, WA",,"Experience in data, analytics, and data warehousing concepts, including database management, ETL architecture and development, and strong SQL proficiency.",Today,2020-10-29,https://www.indeed.com/rc/clk?jk=05be58561594007d&fccid=f334737e3fd6818e&vjs=3
6,Data Scientist Consultant,Zora Digital,3.7,Remote,Up to $75 an hour,"Work closely with data scientists and backend engineers to implement and maintain your changes.
Work on exploring, connecting and mining internal data sources…",11 days ago,2020-10-29,https://www.indeed.com/company/Zora-Digital/jobs/Data-Scientist-Consultant-dfda875f6c2c2f4b?fccid=c4ae758572b8e76d&vjs=3
7,Data Scientist (Fraud Prevention) - Sam's Club Technology,Walmart,3.5,"Dallas, TX","$80,000 - $130,000 a year",Sam's Club Technology* a division of Walmart Global Tech is looking for Data Scientists specializing in Fraud Prevention to join the Data Science &…,22 days ago,2020-10-29,https://www.indeed.com/company/Walmart/jobs/Data-Scientist-6df2575827502033?fccid=822bc5d9a49270ea&vjs=3
8,Data Analyst/Data Scientist,Cascade Data Labs,,"Portland, OR","$65,000 - $120,000 a year",Analyze a collection of raw data sets to create meaningful impact to large enterprise clients while maintaining a high degree of scientific rigor and discipline…,3 days ago,2020-10-29,https://www.indeed.com/company/Cascade-Data-Labs/jobs/Data-Analyst-Data-Scientist-32812ae6e0c7078d?fccid=d9a2e6caf751bd78&vjs=3
9,Entry Level Data Scientist,Spectra Infosystems,,"San Mateo, CA",,"Applicants will be expected to work with a diverse set of data sources, such as time series data, spatial, graph data, semi-structured and unstructured data,…",4 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=23f087c8f24a97c0&fccid=8e44d5d5e9a1ffae&vjs=3
10,Data Scientist,Caffeine,,"Redwood City, CA",,"Work closely with the Product team and Engineering team to build machine learning / deep learning / stats-driven models, interrate the algorithms via…",1 day ago,2020-10-29,https://www.indeed.com/rc/clk?jk=964fe51d774602a8&fccid=d678df224d61dc8d&vjs=3
11,Data Scientist - Fully Remote,DataSource.ai,,"San Francisco, CA","$113,114 - $221,749 a year","As part of our team, you will leverage your deep technical expertise to provide actionable, data-driven insights to team members at all levels.",10 days ago,2020-10-29,https://www.indeed.com/company/DataSource.ai/jobs/Data-Scientist-1659efbba759a208?fccid=cd2fb02c98d6631e&vjs=3
12,Data Scientist,Kinship,4.6,"Portland, OR",,"Contribute to the creation, deployment, and scaling of customer-facing machine learning and predictive algorithms in a production environment.",6 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=0353e828b46c85ee&fccid=4384f66deb7fbe3e&vjs=3
13,Jr. Data Scientist,Dash Technologies Inc,,"Kansas City, KS","$76,029 - $105,000 a year","Work with developers to design algorithms and flowcharts.
Produce clean, efficient code based on specifications.
Verify and deploy programs and systems.",8 days ago,2020-10-29,https://www.indeed.com/company/Dash-Technologies-Inc/jobs/Junior-Data-Scientist-9926d4f7f46b8607?fccid=899d5c87949021be&vjs=3
14,"Data Scientist, Medical Diagnostics",Specific Diagnostics,,"Mountain View, CA",,"The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
Used for bloodstream infection Specific’s solution…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASXGwdLWjBNYivRaShgyLT0X0BdS_EVSQWni2gtHz1pazciS9pJg_LVuqiSysEs-TMIwFFOo7W9bIb5VzrANtYopVIA4KVaF9yg6fI6EvZwtW2vAGjQWCOF3vWYBeKjokeHeoKgHupsPPJigSH8DaOChlEr7xUj3CXaKRa_EOHrBLZ2d5Uk1If3SMIwVW17iDHQDUUIvXmexCnWNIZZjncaygqPS0RqpnpT3XOyrAeaXbtXr5cH3S9krIlX2XHl6eKHE9hEVV_E1ekgPVMAFdkwRwppOFX0jTnttsbLbXXLxpt5VB8Uf62iFHoh5UZG_ufW8cNNFtKfgYmM5ygcj1Hz17IpLQRYpUDlzQM1FjeLp0NpOyX0wuYv8Ii86RLVUs5MUP8FqahhElzwSxjvF2DIifqoUvstaNXqvYuayEJD5M5amdWZBiiRKWmZ4_b_koo2ugPxBZyeOxEeEWvBOwBETebsZNusHQ9MLn_83fHOQ==&p=14&fvj=1&vjs=3
15,Data Scientist,Vaco,3.7,"Nashville, TN","$130,000 a year",The role will work with other Data Scientists and Analysts to create predictive and regression models.,15 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6vuF9mJcDFzyB4chVe5GK_l9f7WKwVdB9xa6ccd-mZpbhf1s3vxyBaZyixrHYH7JohD2IXIVHQczmGosxyUhCiel9-LU-Ho9zQkhSQ_GtXdBCxAo0aGJlnPYksi1B4N4RO34JtFBCfXp7KFx7sA3uJ5dmSrPH3sFtfxHuauJuvbOodfTUAtszNaIkUN8geXgd9Il4d1LJm864aTp7DnPXpGNSzSoauKTDbtZXTvwp7emNc169q5d-lxt1MHKDJj6UfWQA-yTPo0SeDgvB1gCKnx3lMCKGD607fvkJXaxUHg3gMpLJbrGNRnZiK_7Y5SqpZJaoWvsDz1K9sMA57JIvtTDdTQILP82khfbRtTT5t12p8JBupCe5Ohdcgp9DotbsdbLzM9bC1Kp46Or7sM5WLFxlZXjMUsyOszdQxRVWJltzyo-PHlRIPUqKOjBl4cKrg=&p=15&fvj=0&vjs=3
16,"Data Scientist, Medical Diagnostics",Specific Diagnostics,,"Mountain View, CA",,"The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
Used for bloodstream infection Specific’s solution…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASXGwdLWjBNYivRaShgyLT0X0BdS_EVSQWni2gtHz1pazciS9pJg_LVuqiSysEs-TMIwFFOo7W9bIb5VzrANtYopVIA4KVaF9yg6fI6EvZwtW2vAGjQWCOF3vWYBeKjokeHeoKgHupsPPJigSH8DaOChlEr7xUj3CXaKRa_EOHrBLZ2d5Uk1Ifw-6FFLIaMMgyQkVutKJQF8OW-Os_DECfUQqxK9EOohDYmg7hY4n1wQ69Zwe9QOB3dTYhmwlY3e9qBnXid-2i5AIb1jWiDMb1KLQQbwuAQ4y6AnHSHt5Df89bFCV_mhxS3vt2AZ9YKCR_jg6111onKlFuog23vYuQSkpRXwYWayUQ2hk4OY_b-WkT6iGaVILklf98qRKaDhVgnyr38GTv2ROfFU3Uba4q08_nJ9x1OwoKl7PZ8PABnSULZm0TRdFK1PEdx7uNxnyAUluJtykFVpJ3QGxFgZ89M-o-bXZQiSFU5O4yfy6rHw==&p=0&fvj=1&vjs=3
17,Associate Data Scientist,Genworth,3.7,"Richmond, VA",,"Identify business opportunities and provide recommendations for changes to processes based on trends and data analysis, applying knowledge of claims strategy,…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DveHtaohNZTTr4NJ6iQ6LvBAugsddynFItxJfHbw6F-O3gQvnLG9-eGsy0TvdastTsqy7RzwQfhJGQ8fk6UUVgZviSvuJjTopv--I3sAYQy-W6Z7iq2Of_4n4JKWDBlPuAeDCL0uqCFAyBF9gP9eKH0dyR2k2pP6LbU4upH7fixjfx36TxY_dvx3d0GnoUuH3s9Y8CMDUo8AO-OBTKbYX1v5uPOzi_MAuCQZvusz4hLWdAhvfIKZczmUqe6Hjp4pvy5eYhGQoxdJx1siWOJUVQdcWED2eO7WJjinPZFAFADo7fmx_dIRxSvbnqpT2v82RhPrkHoQWVwPnF6wA6L_BDmlluXsdlSvd2ois1V5Fy4vuUbI9J0Yba0T9haq1UlqZaoh6vfbZ-t-1zO46NVuuXgGzJkvJ8nRTS0Dg4TCJ1YLlHVdGwCX8nDYxUAL9VlERRF7He38AvAFYyWqVRP5DGU-mMOX-86-hXCj8P-o2NzoxroM6ZHsrqf0WY-fPZWgc=&p=1&fvj=0&vjs=3
18,Senior Machine Learning Data Scientist,UnitedHealth Group,3.7,"Eden Prairie, MN",,"Coach and mentor junior data scientists.
Work alongside other data scientists, engineers, and project managers to design and implement models and experiments…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0De5ZxCch2tH34NZ4nFLn4SV6g4XiqD8nqdAvGDkugK1sicUe7ltXya1vq0k_e5UzM3Ab80x4TSdnKEAZQHTzEw8F6Y9vqMKfItMlhEp-KoJwsl-yhPgsJfcCXr0DKg_9OcofdOEbNzx0vVEqi4sP9GlxjkBUX0Qt7ugE8ZOvHyKoFq_1XDe-Uj8YR3ev-J30G_sOOijZraxMYfeUTBY34x3xysbLHRGO39UHoy-7JrJELV3Z0ygI5WY9M3DU0Q9RggGvE7gsDcftLORFr4v_kyjl68VsnfVqWMwuk-Fon-TJw15_ecfwJ36IlXEXwtsuEJdqsM7_Yso7tY2C6Qv7rp6gCzpvd760A-kkKkHTh-qC1DQs2xPoV6YtvXOm7uvjEJvMcxYnnab3XXeA1wyD6ZBKG0MdJld7lXKNCr_fvIdrmOxJ104I7pAnbv7EOtZQtQsU5af-GagY-ks6XwiZlYM0IjCnSZFrG33xgjqlbYXw==&p=2&fvj=0&vjs=3
19,Director of Data Science,Confidential,,"Boston, MA",,"Experience with data visualization tools and techniques.
Participate and lead QBRs meetings and highlighting macro and micro business and insights trends.",10 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2OE0u4DJIaqFkuMdkrNYHpGkulRgocSKDw-HBsvXB_wiQN7A4Hwye4Rr8BQ-VvzmPz8CoEe-IC7wosJQZEYP0wjATQ7zZWJgNUqt5ffErtJlgcW6hE5HhNGj-IVS8034nRA-yUM5UXDzIz9-zrmzar3EtaLzMNsntJp2h-gf6EGPuRtYwEVTe5LZtUl_veL1qwrlWh7Y_kAgr6jIu88ny3Ho_e3TaL4O3WVcm2UOAjSSX2rHj4JOhDRU0PtD4xlqiwdyqTS0JI8vGCoHbBS6Bgl1pEfc5WoCps5bldDNgKfzyOHAfu2E4qYrstXS5EKHfx8u4Iq4hME1wMBBqI-UndCzjHqn_-UD_Uiy_t5biD_vXe0iOrhoEiVz6T9EsidZuhji0LK6OLi4CUUpo3rnHA17lEq_zS5jXF2A4IEOC-or_-sFpV9Ndbjlhk_8K2gU9ZcBNPwI9uoE30oS9CB00&p=3&fvj=1&vjs=3
20,Data Manager / Scientist,Integral Consulting Inc.,,"Seattle, WA",,"The desired candidate will be a detail-oriented individual who can support scientific and engineering analyses by ensuring the highest level of data quality,…",27 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dvqbc4AJ8Cg44KpCHcvaQceJISStP7z-NRanuKXfZ4bW_L_k1fk7A_u3-MzmUEdU9sH6-81hZKfhJvo1_-w0Bg0UAF4uaHvLdNpZgu3ANGzl60KfYXwjNk2BPENgNEUDUYppWnr-663tfu9jmPETOwM_A34FKnISEP1MpuPgIiXbEHbPjypxAx5N9JJDhYb7s1-5EkKNPlF2ZLdTo4T1XBMmCKW7DNm6B7BlpR1Oddu_dz45qa7ratlQG0NXeOGpiqYtyKSXI5lvdney855KRVHYQYVsw1uCeO8CP-cU0mMP6L25U2idsOv5QPEJ4pfSk1YbMecn9Jt--TdVTRbvNi88dJcqCVHzLp8lx0D3pUSkEstZRypee5a8MgYWvTFAtltSwaJgQMQAvDhoIeRGWHBYnqSATyDkxHcoHkGWm9JKHAWwCypTqfaAY6zqI2wj6Hild2UvchBQ==&p=4&fvj=1&vjs=3
21,Principal Data Scientist - Manufacturing Technology,Northrop Grumman,4.0,"Palmdale, CA",,"Bachelor's Degree (non-STEM) with 7 years' of experience with information system, data analytics and/or computer programming; OR Master's Degree (non-STEM) with…",16 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL4xiBVbb_EgRS6mZmsgnHhYerJoEfKDNyUiakPr7nRqwh9-SYbxIODIJMhKJMiItFF_8E5_3xd8C9VHgRrE0mzRDEZyRmTfRxzkUNWAZiYhWn6vfABKJCJBjn1LjvtGmB1EOnbbsIjMJY2eJxmnh-SoGrqOVSrrjpo-6OlASUs7T70h-zTUG5wOklhM0Vv0w8KVgegXChDpKtnKPJF68zkSEoyolkWQ6DD8OHd06l316Xe8nHqRAgfqVcgroncvQFvv0ZG3IC3m2iUkbmhZgXV1mZiZvjW5t22ANl1MbZe-rgr67T4ZCqNN4ThIxqPdeChqQV75A-_aT65E8OqqR-sXS-zfxRHdqFnWW_X7LbLHaTBHaAc1tUAiOj0wYM-QdgYtekCIZSXqmJd-0SQuPnwHPtMRji01cNdRAp2NHjyBz7tfKbKpgYRtpCH465wrLtKSGm7h18fhMwofGq0vgd0_RipZK0SKnwjHYmnJbUuEdi3cW5x_iqRReGMETR543yixbbqhVxxPuXjhqaJSnavRnlAwjmDmsNzasFIWkxKS940fEGpzXN6dX6J73Eh8c475kcPT_X9dA170kJRRTLCM=&p=5&fvj=0&vjs=3
22,Data Scientist,Event Dynamic,,"Dallas, TX",,This position will interface with the subject matter experts and machine learning team to communicate business impacts of technical decisions.,30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzeGWOjRdOR2DdzguH-JnvuerQhYKM8ycpn9HUixiNoz37HNBW9SwHmEyLupb6qCQD-39PZIuQO-WXF_eYAGRn-cPLA05KXoXxW7UKQ8kv2v1TS2aEhTFb2DceJD6LZrz3ZwRGyypAapSwEd1wqAJx-Ro5q7VcepbTcN7rgMpSkmMbVQ8OM8MJOgjmhj21JaAqSdc8lzvfbL9CN7sssjZo3Nujc5NGI0GaTxWfkVQ_qBbYtx9-vR7OSKEHuwOYR_0wwSaNjSk4aTcSqiOXrTOmbZJBD_N8do9mri2o57lOeZKi8Q4B52Fb1t5OAZkScZZX93ROO20mmM4Dw93ZcRd1x9yhwr5IQd5y-N8NxGYLJGkD49UmzG62R1ih7HE3zYA1I2UtIvm5X7-nh4vwK-tQMtU0BL90oXXWjRHwOKVDYGzEftgvhcLSGqRjZnEK-iQn7to4PGte-w==&p=6&fvj=1&vjs=3
