company,State,City
Roche,CA,Pleasanton
"Personalis, Inc",CA,Menlo Park
"TurnKey Staffing, LLC",PA,Philadelphia
Goldfinch Bio,MA,Cambridge
Kite Pharma,CA,Santa Monica
Novartis,MA,Cambridge
University of Washington,WA,Seattle
Cleveland Clinic,OH,Cleveland
University of North Carolina at Charlotte,NC,Charlotte
Harvard University,MA,Cambridge
"Bio-Rad Laboratories, Inc.",CA,Pleasanton
Sound Agriculture,CA,Emeryville
Boston University,MA,Boston
"ArcherDX, Inc.",CO,Boulder
Quantapore,CA,South San Francisco
Buck Institute for Research on Aging,CA,Novato
Frederick National Laboratories,MD,Frederick
"Checkerspot, Inc.",CA,Berkeley
NVIDIA,CA,Santa Clara
23andMe,CA,Sunnyvale
Allen Institute for Immunology,WA,Seattle
Genus,WI,Wisconsin
MaxisIT Inc,NY,New York
City of Hope,CA,Irwindale
The University of Texas Health Science Center at Houston,TX,Houston
Tekruiting,CA,San Jose
SummerBio,CA,Menlo Park
The University of Texas Health Science Center at Houston,TX,Houston
Areté,CA,Northridge
"BioFire Diagnostics, LLC.",UT,Salt Lake City
United Therapeutics,DC,Washington
Genus PLC,WI,Waunakee
"Lineagen, Inc.",UT,Salt Lake City
10x Genomics,CA,Pleasanton
Frederick National Laboratory,MD,Frederick
Penfield Search Partners,CT,Fairfield
Fulgent Genetics,GA,Atlanta
Novartis,MA,Cambridge
"BioFire Diagnostics, LLC.",UT,Salt Lake City
"IHRC, Inc.",GA,Atlanta
Eclipse BioInnovations,CA,San Diego
Merck,MA,Cambridge
Synbio Technologies,NJ,Monmouth Junction
Brigham & Women's Hospital(BWH),MA,Boston
Bio-techne,CT,Wallingford
Fulgent Genetics,CA,Temple City
MedGenome,CA,Foster City
Novartis,MA,Cambridge
"Aperiomics, Inc",VA,Sterling
SEMA4,CT,Stamford
Florida Gulf Coast University,FL,Fort Myers
J. Craig Venter Institute,CA,La Jolla
NVIDIA,CA,Santa Clara
GeneDx,MD,Gaithersburg
AdvaGenix,MD,Rockville
Monte Rosa Therapeutics,MA,Boston
Tekruiting,CA,San Jose
Fulgent Genetics,GA,Atlanta
"BioFire Diagnostics, LLC.",UT,Salt Lake City
Quantapore,CA,South San Francisco
Qiagen,MD,Frederick
QIAGEN,MD,Frederick
Sciome LLC,NC,Research Triangle Park
"University of Nevada, Reno",NV,Reno
Medical College of Wisconsin,WI,Milwaukee
Boston University,MA,Boston
North Carolina State University,NC,Raleigh
Leidos,CA,San Diego
Takeda Pharmaceutical,MA,Cambridge
UCLA Health,CA,Los Angeles
Eclipse BioInnovations,CA,San Diego
SummerBio,CA,Menlo Park
Tekruiting,CA,San Jose
Areté,CA,Northridge
LifeMine,MA,Cambridge
Decipher Biosciences,CA,San Diego
Exact Sciences Corporation,AZ,Phoenix
GSK,MD,Rockville
"Checkerspot, Inc.",CA,Berkeley
Leidos,CA,San Diego
Novartis,MA,Cambridge
"IHRC, Inc.",GA,Atlanta
AdvaGenix,MD,Rockville
Tekruiting,CA,San Jose
Kite Pharma,CA,Santa Monica
Eclipse BioInnovations,CA,San Diego
Boston Children's Hospital,MA,Boston
Personalis,CA,Menlo Park
GSK,PA,Collegeville
Allen Institute for Immunology,WA,Seattle
Centrillion,CA,Palo Alto
SummerBio,CA,Menlo Park
Roche,CA,Pleasanton
"IHRC, Inc.",GA,Atlanta
Areté,CA,Northridge
Frederick National Laboratories,MD,Frederick
"Checkerspot, Inc.",CA,Berkeley
"GENEWIZ, Inc.",NJ,South Plainfield
Novartis,MA,Cambridge
Takeda Pharmaceutical,MA,Boston
"GENEWIZ, Inc.",NJ,South Plainfield
Chinook Therapeutics,WA,Seattle
Fred Hutchinson Cancer Research Center,WA,Seattle
NYU Langone,NY,New York
Fulgent Genetics,CA,Temple City
Quantapore,CA,South San Francisco
Directed Genomics,MA,Watertown
The University of Texas Health Science Center at Houston,TX,Houston
Frederick National Laboratories,MD,Bethesda
Boston Children's Hospital,MA,Boston
Providence Health & Services,OR,Portland
Dana-Farber Cancer Institute,MA,Boston
"Psomagen, Inc.",MD,Rockville
United Therapeutics,DC,Washington
"BioFire Diagnostics, LLC.",UT,Salt Lake City
Kite Pharma,CA,Santa Monica
Novartis,MA,Cambridge
Areté,CA,Northridge
Directed Genomics,MA,Watertown
Tekruiting,CA,San Jose
"GENEWIZ, Inc.",NJ,South Plainfield
Eclipse BioInnovations,CA,San Diego
"Alto Neuroscience, Inc",CA,San Francisco Bay Area
Kite Pharma,CA,Santa Monica
GENENTECH,CA,South San Francisco
3T Biosciences,CA,South San Francisco
Penn State University,PA,University Park
Genesis Biotechnology Group,NJ,Township of Hamilton
Qiagen,MD,Frederick
"Checkerspot, Inc.",CA,Berkeley
Roche,CA,Pleasanton
UCLA Health,CA,Los Angeles
Takeda Pharmaceutical,MA,Boston
"IHRC, Inc.",GA,Atlanta
Tekruiting,CA,San Jose
Takeda Pharmaceutical,MA,Boston
Eclipse BioInnovations,CA,San Diego
Kite Pharma,CA,Santa Monica
MedGenome,CA,Foster City
Areté,CA,Northridge
QIAGEN,MD,Frederick
University of California San Francisco,CA,San Francisco
Genewiz,NJ,South Plainfield
Catalytic Data Science,CT,Connecticut
Guardant Health,CA,Redwood City
SEMA4,CT,Stamford
NemaLife Inc,TX,Houston
Takeda Pharmaceutical,MA,Cambridge
"GENEWIZ, Inc.",NJ,South Plainfield
UCLA Health,CA,Los Angeles
Novartis,MA,Cambridge
Tekruiting,CA,San Jose
BioCompanion,MD,Rockville
Sangamo Therapeutics,CA,Richmond
DermTech,CA,San Diego
IQVIA,NC,Durham
Asuragen Inc,TX,Austin
Children's Hospital of Philadelphia,PA,Philadelphia
Simons Foundation,NY,New York
Integrated DNA Technologies (IDT),IA,Coralville
"Checkerspot, Inc.",CA,Berkeley
"Personalis, Inc",CA,Menlo Park
SummerBio,CA,Menlo Park
Buck Institute for Research on Aging,CA,Novato
UCLA Health,CA,Los Angeles
Takeda Pharmaceutical,MA,Boston
Roche,CA,Pleasanton
"GENEWIZ, Inc.",NJ,South Plainfield
TwinStrand Biosciences,WA,Seattle
UNC Charlotte,NC,Charlotte
QIAGEN,MD,Frederick
"Cipherome, Inc",CA,San Jose
Allen Institute for Immunology,WA,Seattle
Nautilus Bio,CA,San Carlos
Thermo Fisher Scientific,CA,Los Angeles
Areté,CA,Northridge
"IHRC, Inc.",GA,Atlanta
Eclipse BioInnovations,CA,San Diego
Tekruiting,CA,San Jose
"GENEWIZ, Inc.",NJ,South Plainfield
UCLA Health,CA,Los Angeles
Scripps Research,FL,Jupiter
"Signature Science, LLC",TX,Austin
MIT Lincoln Laboratory,MA,Lexington
"Dovel Technologies, LLC",MD,Bethesda
University of Colorado,CO,Aurora
"Checkerspot, Inc.",CA,Berkeley
Frederick National Laboratories,MD,Frederick
Novartis,MA,Cambridge
Buck Institute for Research on Aging,CA,Novato
Directed Genomics,MA,Watertown
"GENEWIZ, Inc.",NJ,South Plainfield
Takeda Pharmaceutical,MA,Boston
Tekruiting,CA,San Jose
"GENEWIZ, Inc.",NJ,South Plainfield
Invitae,CA,San Francisco
"Personalis, Inc",CA,Menlo Park
PPD,NC,Wilmington
La Jolla Institute for Immunology,CA,San Diego
Stanford University,CA,Stanford
Cold Spring Harbor Laboratory,NY,Cold Spg Hbr
University of Utah,UT,Salt Lake City
Frederick National Laboratories,MD,Frederick
Vanderbilt University Medical Center,TN,Nashville
"BioFire Diagnostics, LLC.",UT,Salt Lake City
"IHRC, Inc.",GA,Atlanta
Takeda Pharmaceutical,MA,Boston
Takeda Pharmaceutical,MA,Boston
Arrayo,MA,Cambridge
The University of Texas Health Science Center at H...,TX,Houston
The Translational Genomics Research Institute,AZ,Phoenix
Regeneron,NY,Tarrytown
"GENEWIZ, Inc.",NJ,South Plainfield
Drexel University,PA,Philadelphia
Roche,CA,Pleasanton
Kite Pharma,CA,Santa Monica
